drug_id,drug_name,brand_name,active_ingredient,gene_symbol,clinpgx_id,ncbi_id,boxed_warning,indications
1,silicea,SILICEA,SILICON DIOXIDE,,,,None,INDICATIONS Condition listed above or as directed by the physician
2,povidone-iodine,MediChoice Povidone-Iodine Prep Pad,POVIDONE-IODINE,,,,None,Use Antiseptic skin preparation
3,naproxen,Naproxen,NAPROXEN,,,,"WARNING: RISK OF SERIOUS CARDIOVASCULAR AND GASTROINTESTINAL EVENTS Cardiovascular Thrombotic Events • Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal. This risk may occur early in treatment and may increase with duration of use [ see Warnings and Precautions ( 5.1 ) ]. • Naproxen tablets and naproxen sodium tablets are contraindicated in the setting of coronary artery bypass graft (CABG) surgery [ see Contraindications ( 4 ), Warnings and Precautions ( 5.1 ) ]. Gastrointestinal Bleeding, Ulceration, and Perforation • NSAIDs cause an increased risk of serious gastrointestinal (GI) adverse events including bleeding, ulceration, and perforation of the stomach or intestines, which can be fatal. These events can occur at any time during use and without warning symptoms. Elderly patients and patients with a prior history of peptic ulcer disease and/or GI bleeding are at greater risk for serious GI events [ see Warnings and Precautions ( 5.2 ) ]. WARNING: RISK OF SERIOUS CARDIOVASCULAR AND GASTROINTESTINAL EVENTS See full prescribing information for complete boxed warning. • Nonsteroidal anti-inflammatory drugs (NSAIDs) cause an increased risk of serious cardiovascular thrombotic events, including myocardial infarction and stroke, which can be fatal. This risk may occur early in treatment and may increase with duration of use. ( 5.1 ) • Naproxen tablets and naproxen sodium tablets are contraindicated in the setting of coronary artery bypass graft (CABG) surgery. ( 4 , 5.1 ) • NSAIDs cause an increased risk of serious gastrointestinal (GI) adverse events including bleeding, ulceration, and perforation of the stomach or intestines, which can be fatal. These events can occur at any time during use and without warning symptoms. Elderly patients and patients with a prior history of peptic ulcer disease and/or GI bleeding are at greater risk for serious GI events. ( 5.2 )",1 INDICATIONS AND USAGE Naproxen tablets and naproxen sodium tablets are indicated for: the relief of the signs and symptoms of: • rheumatoid arthritis • osteoarthritis • ankylosing spondylitis • Polyarticular Juvenile Idiopathic Arthritis Naproxen tablets and naproxen sodium tablets are also indicated for: the relief of signs and symptoms of: • tendonitis • bursitis • acute gout the management of: • pain • primary dysmenorrhea Naproxen tablets and naproxen sodium tablets are non-steroidal anti-
4,benzalkonium chloride,Kroger Antibacterial,BENZALKONIUM CHLORIDE,,,,None,Uses Hrlps eliminate bacteria on hands
5,salicylic acid,Replenix Gly-Sal 10-2 cleanser,SALICYLIC ACID,,,,None,Uses Skin cleanser for the treatment of acne.
6,trametinib,Mekinist,TRAMETINIB DIMETHYL SULFOXIDE,,,,None,"1 INDICATIONS AND USAGE MEKINIST is a kinase inhibitor indicated as a single agent for the treatment of BRAF-inhibitor treatment-naïve patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test. ( 1.1 , 2.1 ) MEKINIST is indicated, in combination with dabrafenib, for: the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test. ( 1.1 , 2.1 ) the adjuvant tre"
7,glimepiride,Glimepiride,GLIMEPIRIDE,,,,None,"1 INDICATIONS & USAGE Glimepiride tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus [ see Clinical Studies (14.1) ]. Limitations of Use Glimepiride tablets should not be used for the treatment of type 1 diabetes mellitus or diabetic ketoacidosis, as it would not be effective in these settings. Glimepiride tablets is a sulfonylurea indicated as an adjunct to diet and exercise to improve glycemic control in adults with type"
8,methocarbamol,Methocarbamol,METHOCARBAMOL,,,,None,"INDICATIONS AND USAGE Methocarbamol tablets, USP are indicated as an adjunct to rest, physical therapy, and other measures for the relief of discomfort associated with acute, painful musculoskeletal conditions. The mode of action of methocarbamol has not been clearly identified, but may be related to its sedative properties. Methocarbamol does not directly relax tense skeletal muscles in man."
9,hydrocortisone,anti itch,HYDROCORTISONE,,,,None,"Uses • temporarily relieves itching associated with minor skin irritations, inflammation, and rashes due to: • eczema • psoriasis • poison ivy, oak, sumac • insect bites • detergents • jewelry • cosmetics • soaps • seborrheic dermatitis • temporarily relieves external anal and genital itching • other uses of this product should only be under the advice and supervision of a doctor"
10,varenicline,Tyrvaya,VARENICLINE TARTRATE,,,,None,1 INDICATIONS AND USAGE TYRVAYA (varenicline solution) nasal spray is indicated for the treatment of the signs and symptoms of dry eye disease. TYRVAYA (varenicline solution) nasal spray is a cholinergic agonist indicated for the treatment of the signs and symptoms of dry eye disease. ( 1 )
11,"helianthemum nummularium flower, clematis vitalba flower, impatiens glandulifera flower, prunus cerasifera flower, ornithogalum umbellatum, and aesculus hippocastanum flower",Rescue Sleep,HELIANTHEMUM NUMMULARIUM FLOWER,,,,None,Use for relief of occasional sleeplessness caused by stress and repetitive thoughts
12,acetaminophen,TYLENOL Extra Strength,ACETAMINOPHEN,,,,None,Uses temporarily relieves minor aches and pains due to: the common cold headache backache minor pain of arthritis toothache muscular aches premenstrual and menstrual cramps temporarily reduces fever
13,glycerin,OASIS Tears Lubricant Eye,GLYCERIN,,,,None,Uses For the temporary relief of burning and irritation due to dryness of the eye For the temporary relief of discomfort due to minor irritations of the eye or to exposure to wind or sun For use as a protectant against further irritation or to relieve dryness of the eye
14,"benzocaine, resorcinol",Thera Plus Maximum Strength Feminine Anti-Itch,BENZOCAINE,,,,None,Uses temporarily relieves itching
